market,path,estimated_trend_fail_evaluations,current_trend_fail_true_cases,scale_consistent_trend_fail_true_cases,trend_fail_disagreements,comparison_disagreements,current_true_scale_false,current_false_scale_true,all_feature_rows_same_path_disagreement_proxy,notes
AAVEUSDT,long,458,27,4,23,450,23,0,205,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
AAVEUSDT,short,126,0,6,6,7,0,6,473,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
ADAUSDT,long,374,29,6,23,364,23,0,339,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
ADAUSDT,short,221,0,12,12,14,0,12,781,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
ATOMUSDT,long,219,15,4,11,211,11,0,234,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
ATOMUSDT,short,354,0,13,13,19,0,13,1051,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
AVAXUSDT,long,208,18,3,15,205,15,0,227,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
AVAXUSDT,short,97,0,8,8,9,0,8,490,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
BCHUSDT,long,440,36,10,26,420,26,0,372,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
BCHUSDT,short,145,0,3,3,5,0,3,276,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
BNBUSDT,long,879,47,8,39,868,39,0,932,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
BNBUSDT,short,0,0,0,0,0,0,0,0,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
BTCUSDT,long,851,60,14,46,834,46,0,910,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
BTCUSDT,short,16,0,1,1,2,0,1,9,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
DOGEUSDT,long,273,19,6,13,263,13,0,222,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
DOGEUSDT,short,268,0,11,11,22,0,11,461,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
DOTUSDT,long,294,19,6,13,285,13,0,193,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
DOTUSDT,short,435,0,23,23,27,0,23,1036,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
ETCUSDT,long,305,21,5,16,300,16,0,275,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
ETCUSDT,short,139,0,8,8,11,0,8,604,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
ETHUSDT,long,880,55,13,42,868,42,0,804,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
ETHUSDT,short,27,0,1,1,1,0,1,6,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
FILUSDT,long,51,2,1,1,50,1,0,22,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
FILUSDT,short,443,0,24,24,36,0,24,1127,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
LINKUSDT,long,533,39,12,27,516,27,0,562,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
LINKUSDT,short,70,0,7,7,9,0,7,259,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
LTCUSDT,long,477,32,4,28,471,28,0,404,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
LTCUSDT,short,158,1,8,7,20,0,7,562,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
NEARUSDT,long,387,25,10,15,373,15,0,192,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
NEARUSDT,short,184,0,8,8,8,0,8,467,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
SOLUSDT,long,576,31,10,21,566,21,0,363,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
SOLUSDT,short,63,0,8,8,9,0,8,206,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
TRXUSDT,long,890,60,20,40,866,40,0,715,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
TRXUSDT,short,38,0,1,1,2,0,1,160,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
UNIUSDT,long,123,12,4,8,118,8,0,137,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
UNIUSDT,short,300,1,13,12,14,0,12,739,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
XRPUSDT,long,301,27,9,18,292,18,0,294,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
XRPUSDT,short,289,0,13,13,16,0,13,614,"Evaluation counts are reconstructed management-context estimates; all-feature-row proxy is a broader risk scan, not position-specific."
