path,category,decision,reason
app.py,app_server_files,keep,source/data/docs or uncertain review item retained
data/AAVEUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/ADAUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/ATOMUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/AVAXUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/BCHUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/BNBUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/BTCUSDT_1h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/BTCUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/DOGEUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/DOTUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/ETCUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/ETHUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/FILUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/LINKUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/LTCUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/NEARUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/SOLUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/TRXUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/UNIUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
data/XRPUSDT_4h.csv,raw_data_csvs,keep,source/data/docs or uncertain review item retained
mtf_pullback_webhook_strategy.pine,docs,keep,source/data/docs or uncertain review item retained
requirements.txt,app_server_files,keep,source/data/docs or uncertain review item retained
research/README.md,docs,keep,source/data/docs or uncertain review item retained
research/__init__.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/ablation_study.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/analyze_long1_continuation_archetypes.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/analyze_long1_momentum_candidate.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/analyze_long1_reclaim_retest.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/analyze_long_only_archetypes.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/analyze_long_only_continuation.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/analyze_long_only_paths.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/analyze_long_only_reclaim.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/analyze_long_only_reclaim_strength.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/analyze_long_only_regimes.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/analyze_long_runner_leg.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/config.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/data.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/diagnose_failure_regime.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/diagnose_long_only_candidate.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/download_data.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/indicators.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/inspect_results.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/long_only_candidate.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/optimize.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/run_backtest.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/run_long_only_candidate.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/run_split_leg_mini_experiment.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/strategy.py,source_patch_files,keep,source/data/docs or uncertain review item retained
research/validate_candidates.py,source_research_files,keep,source/data/docs or uncertain review item retained
research/validate_long_only_candidate.py,source_research_files,keep,source/data/docs or uncertain review item retained
research_output/ablation_by_split.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/ablation_full_sample.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/ablation_summary.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/bnbusdt_unseen_market_frozen_explanation_validation_round1.dataset_quality_summary.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/bnbusdt_unseen_market_frozen_explanation_validation_round1.group_comparison_summary.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/bnbusdt_unseen_market_frozen_explanation_validation_round1.group_distribution_summary.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/bnbusdt_unseen_market_frozen_explanation_validation_round1.recommendation.csv,core_research_summaries,keep,summary-level research evidence retained
research_output/bnbusdt_unseen_market_frozen_explanation_validation_round1.trade_labels_all.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/btc_4h_after_fix.equity.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/btc_4h_after_fix.equity.png,caches_runtime_artifacts,remove,generated binary/cache/runtime artifact
research_output/btc_4h_after_fix.trades.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/btc_4h_run.equity.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/btc_4h_run.equity.png,caches_runtime_artifacts,remove,generated binary/cache/runtime artifact
research_output/btc_4h_run.trades.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/candidate_validation_by_split.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/candidate_validation_full_sample.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/candidate_validation_survivors.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/cross_market_unseen_validation_synthesis_round1.core_transfer_assessment.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/cross_market_unseen_validation_synthesis_round1.cross_market_ledger.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/cross_market_unseen_validation_synthesis_round1.recommendation.csv,core_research_summaries,keep,summary-level research evidence retained
research_output/cross_market_unseen_validation_synthesis_round1.stop_marker.md,core_research_summaries,keep,summary-level research evidence retained
research_output/cross_market_unseen_validation_synthesis_round1.supporting_note_parked_hint_assessment.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/ethusdt_unseen_market_frozen_explanation_validation_round1.dataset_quality_summary.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/ethusdt_unseen_market_frozen_explanation_validation_round1.group_comparison_summary.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/ethusdt_unseen_market_frozen_explanation_validation_round1.group_distribution_summary.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/ethusdt_unseen_market_frozen_explanation_validation_round1.recommendation.csv,core_research_summaries,keep,summary-level research evidence retained
research_output/ethusdt_unseen_market_frozen_explanation_validation_round1.trade_labels_all.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
research_output/failure_2025_2026_adx_summary.csv,detailed_generated_audit_csvs,remove,redundant detailed generated research output; summary/recommendation evidence retained
