source_name,source_family,data_category,okx_swap_support_expected,exact_instrument_level_expected,historical_depth_expected,timestamp_resolution_expected,taker_side_semantics_expected,oi_support_expected,basis_funding_support_expected,access_type,pricing_uncertainty,license_risk,rate_limit_or_storage_risk,provenance_quality_expected,evaluation_status,notes
OKX official historical/download channels,exchange_official,raw_trades;oi;funding;basis,uncertain,uncertain,uncertain_pending_manual_docs,uncertain,uncertain,uncertain,uncertain,public_or_accountless_if_available,uncertain,uncertain,uncertain,potentially_high_if_official_raw_files_exist,needs_manual_pricing_or_docs_check,Plan item only; do not assume official historical tick/download availability without docs review.
OKX REST endpoints beyond current route,exchange_official_rest,raw_trades;oi;funding;premium;mark_index,partial_expected,uncertain,endpoint_specific,ms_expected_for_trades,documented_for_trade_side_in_prior_artifact_but_recheck_needed,current_snapshot_yes_historical_uncertain,funding_mark_index_possible_but_needs_docs,public_rest,low_to_uncertain,low_to_uncertain,rate_limit_high_for_raw_trades,good_if_raw_archived,uncertain,"Current local routes failed CP1/public trade and exact OI history proof; review only, no fetch."
OKX market data / tick data files,exchange_official_files,raw_trades;order_book;mark_index,uncertain,uncertain,uncertain,tick_or_ms_if_available,uncertain,uncertain,uncertain,public_or_download_if_available,uncertain,uncertain,storage_high,good_if_file_hashes_available,needs_manual_pricing_or_docs_check,Look for official file-based history only in future manual docs review.
ccxt / CCXT Pro wrappers,wrapper,raw_trades;oi;funding,depends_on_underlying_exchange,not_source_of_truth,depends_on_underlying_exchange,depends_on_endpoint,depends_on_underlying_endpoint,depends_on_underlying_endpoint,depends_on_underlying_endpoint,open_source_wrapper_or_paid_pro_wrapper,medium,wrapper_license_low_data_license_depends,rate_limit_same_as_underlying,medium,not_recommended,Wrappers can cross-check but must not be treated as source-of-truth.
CryptoCompare,vendor_or_data_api,trades;ohlcv;derivatives_context,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,api_vendor,needs_manual_pricing_or_docs_check,uncertain,uncertain,uncertain,uncertain,Evaluate only via manual docs/pricing review; no API call now.
Kaiko,paid_vendor,raw_trades;order_book;derivatives;possibly_funding_oi,likely_available,likely_available,likely_deep_history,ms_or_better_expected,needs_confirmation,needs_confirmation,needs_confirmation,paid_vendor,high,medium_to_high,storage_high,likely_high,paid_vendor_likely,Potentially strong source but cost/license must be reviewed.
CoinAPI,paid_vendor,raw_trades;quotes;possibly_derivatives,uncertain,uncertain,uncertain,ms_or_better_expected,needs_confirmation,uncertain,uncertain,paid_vendor,high,medium_to_high,rate_limit_and_storage_risk,likely_medium_to_high,paid_vendor_likely,Manual docs/pricing required before any sample.
Tardis.dev,paid_vendor_or_dataset,raw_trades;order_book;derivatives_tick_data,likely_available,likely_available,likely_deep_history,ms_or_better_expected,needs_confirmation,uncertain,uncertain,paid_vendor_or_file_download,high,medium_to_high,storage_high,likely_high,paid_vendor_likely,Promising for raw exchange trade files if OKX swaps are supported; verify license/cost.
Amberdata,paid_vendor,derivatives;trades;oi;funding;liquidations_possible,likely_available,likely_available,likely_deep_history,ms_or_interval_dependent,needs_confirmation,likely_but_verify_instrument_level,likely_but_verify_definitions,paid_vendor,high,medium_to_high,rate_limit_storage_medium_high,likely_high,paid_vendor_likely,Potential all-in derivatives source; must prove exact OKX instrument semantics.
Coin Metrics,vendor_or_community_paid,market_data;trades;funding;oi_possible,uncertain,uncertain,uncertain,ms_or_interval_dependent,uncertain,uncertain,uncertain,api_or_files,needs_manual_pricing_or_docs_check,medium,uncertain,likely_high,uncertain,Manual review needed for OKX swap instrument support and exact fields.
Glassnode,paid_vendor,onchain;derivatives_context_possible,uncertain,uncertain,uncertain,interval_dependent,uncertain,uncertain,uncertain,paid_vendor,high,medium_to_high,uncertain,medium,needs_manual_pricing_or_docs_check,May be less suitable if focus is exchange exact trades; verify before considering.
Coinglass,vendor_web_api,oi;funding;long_short;liquidations,likely_for_derivatives_context,uncertain,uncertain,interval_dependent,not_primary_for_raw_taker_side,likely_but_verify_instrument_level,likely_for_funding_context,paid_or_limited_api,needs_manual_pricing_or_docs_check,medium_to_high,rate_limit_uncertain,medium,uncertain,Useful candidate for derivatives context but exact OKX instId and licensing must be proven.
The Tie,paid_vendor,sentiment;market_data;derivatives_possible,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,paid_vendor,high,medium_to_high,uncertain,uncertain,needs_manual_pricing_or_docs_check,Likely not first choice for exact exchange trades unless docs prove coverage.
VeloData,paid_vendor,funding;basis;oi;liquidations;derivatives_context,likely_for_derivatives_context,uncertain,uncertain,interval_dependent,not_primary_for_raw_taker_side,needs_instrument_level_confirmation,likely_but_verify_definitions,paid_vendor,high,medium_to_high,uncertain,medium_to_high,paid_vendor_likely,Strong candidate for basis/funding/OI context if exact OKX instruments supported.
Laevitas,paid_vendor,derivatives;oi;funding;basis;options_context,likely_for_derivatives_context,uncertain,uncertain,interval_dependent,not_primary_for_raw_taker_side,needs_instrument_level_confirmation,likely_but_verify_definitions,paid_vendor,high,medium_to_high,uncertain,medium_to_high,paid_vendor_likely,Verify OKX swap instrument granularity and export/API terms.
AWS/GCP/BigQuery public datasets,public_cloud_dataset,raw_trades;market_data_if_listed,uncertain,uncertain,dataset_dependent,dataset_dependent,uncertain,uncertain,uncertain,public_dataset_or_metered_cloud,medium,medium,storage_query_cost_risk,high_if_snapshot_tables_available,needs_manual_pricing_or_docs_check,"Could be reproducible if datasets exist, but cloud query costs and licensing need review."
Local committed OKX/Rubik artifacts,local_artifacts,aggregate_taker_flow;sample_public_trades;aggregate_oi_context,known_partial,not_exact_for_aggregate_routes,short_sample_or_aggregate_limited,1h_or_ms_sample,documented_for_trade_side_sample,not_exact_historical_oi,funding_context_prior_failed,local_repository,none,low_internal,already_archived,high_for_local_repro,not_recommended_for_exact_strategy,"Useful as evidence of limitations, not a source for exact historical strategy features."
