family_id,candidate_id,status,entry_rule,exit_rule,stop_rule,sizing,market_scope,data_status,exclude_now
A,A_ts_momentum_ema_return_round1,template_for_future_validation,close > EMA100 and 20-bar return > 0; long-only spot-style exposure,close < EMA50 or 12 bars elapsed,2*ATR14 below entry close,fixed notional per market; no leverage,same 19 markets,existing_4h_ohlcv,no
B,B_cross_sectional_top3_round1,template_for_future_validation,weekly rebalance into top 3 markets by 30-day return if return > 0,"drop out of top half, stop, or weekly rebalance",2*ATR14 trailing stop,equal fixed notional across selected markets; max 3 positions,"same 19 markets, no post-result removal",existing_4h_ohlcv,no
C,C_donchian_breakout_round1,template_for_future_validation,close > prior 55-bar high,close < prior 20-bar low,"max(prior 20-bar low, entry - 2*ATR14)",fixed notional; no add-ons,same 19 markets,existing_4h_ohlcv,no
D,D_vol_contraction_breakout_round1,template_for_future_validation,BB width percentile <= 20 over trailing 120 bars then close > upper BB20/2 with volume > rolling 20-bar median,close below SMA20 or 8 bars elapsed,entry - 1.5*ATR14,fixed notional; no leverage,same 19 markets,existing_4h_ohlcv_volume,no
E,E_rsi_bollinger_reversion_round1,template_for_future_validation,close < lower BB20/2 and RSI14 < 30; not Candidate D rules,"SMA20 touch, RSI14 > 50, or 8 bars elapsed",entry candle low - 1*ATR14,fixed notional; no averaging down,same 19 markets,existing_4h_ohlcv,no_but_high_caution
F,F_intraday_predictability_round1,data_audit_required_before_validation,not frozen until 1h/lower data availability is audited,not frozen,not frozen,not frozen,same 19 markets if data exists,insufficient_current_marketwide_intraday_data,yes
G,G_funding_context_round1,fresh_definition_required_before_validation,not defined here; funding-first candidate must avoid failed gate retune,not frozen,not frozen,not frozen,same 19 markets with funding coverage,audited_funding_available_partial,yes_until_fresh_plan
H,H_basis_carry_plan_only_round1,plan_only_data_audit_required,"annualized basis/funding above fixed hurdle after fees, if spot/perp basis data exists","basis convergence, hurdle gone, or risk stop",margin and basis blowout cap,market-neutral; no leverage unless isolated research-only,same 19 if spot/perp data exists,basis_not_audited,yes
I,I_regime_filtered_trend_round1,template_for_future_validation,BTC regime on: BTC close > EMA200 and BTC realized vol below 75th percentile; market close > EMA100,regime off or market close < EMA50,2*ATR14 below entry,fixed notional; no add-ons,same 19 markets,existing_4h_ohlcv,no_but_prior_regime_failure_reference
J,J_pairs_relative_value_round1,plan_only_pair_universe_required,predeclared pairs only; z-score spread > 2 using formation window only,z-score crosses 0 or stop,z-score > 3 or max loss cap,dollar-neutral if shorting feasible,predeclared pairs from same 19,shortability_costs_not_audited,yes
K,K_capped_grid_sim_round1,simulation_only_if_approved,range identified from prior 60 bars only; place synthetic grid around current price,range break or max duration,hard stop if price exits range by 1*ATR14,small fixed inventory cap; no leverage,same 19 markets,4h_rough_only_lower_tf_preferred,maybe_simulation_only
L,L_logistic_classifier_baseline_round1,template_for_future_validation,walk-forward logistic model probability > predeclared threshold using fixed OHLCV features,"probability reverses, time stop, or risk stop",1.5*ATR14,fixed notional; no leverage,same 19 markets,existing_4h_ohlcv,no_if_strict_baseline
