candidate_id,family_id,candidate_name,candidate_type,long_short_direction,timeframe,current_data_feasibility,required_data,representative_reason,main_risk,expected_failure_mode,future_validation_status
A_ts_momentum_ema_return_round1,A,Time-series EMA/return momentum,directional_long,long_only,4h,immediately_testable_existing_4h_ohlcv,4h OHLCV,Canonical own-market momentum; simple enough for first tournament,Whipsaw and long beta,Sideways regimes create losses or passive BTC dominates,needs_first_pass_validation_plan
B_cross_sectional_top3_round1,B,Cross-sectional top-3 relative strength,portfolio_rotation,long_only,4h_weekly_rebalance,testable_with_existing_4h_ohlcv_but_needs_portfolio_ranking_support,4h OHLCV for same 19 markets,Tests ranking across markets rather than per-symbol signals,High beta concentration and crash correlation,Top winners reverse or edge isolated to one outlier,needs_first_pass_validation_plan
C_donchian_breakout_round1,C,Donchian channel breakout,directional_breakout,long_only,4h,immediately_testable_existing_4h_ohlcv,4h OHLCV,Canonical channel breakout baseline,False breakouts and late entries,Fails no-trade or BTC benchmark in chop,needs_first_pass_validation_plan
D_vol_contraction_breakout_round1,D,Bollinger bandwidth contraction breakout,directional_breakout_after_compression,long_only,4h,immediately_testable_existing_4h_ohlcv_volume,4h OHLCV volume,Tests low-volatility compression before breakout,Too few trades and false squeeze breaks,Compression signal blocks winners or catches failed breakouts,needs_first_pass_validation_plan
E_rsi_bollinger_reversion_round1,E,RSI/Bollinger oversold reversion,mean_reversion,long_only,4h,immediately_testable_existing_4h_ohlcv,4h OHLCV,Simple canonical BB/RSI mean reversion distinct from Candidate D rules,Crash-regime knife catching,Stop/time-stop domination like Candidate D,needs_first_pass_validation_plan_high_caution
F_intraday_predictability_round1,F,Intraday momentum/reversal placeholder,intraday_effect,long_or_flat_research_only,1h_or_15m_required,testable_only_after_data_availability_audit,market-wide 1h or 15m OHLCV/public trades,Intraday papers require finer data than 4h,High turnover and timing overfit,Data unavailable or fees erase effect,data_blocked_no_validation
G_funding_carry_context_round1,G,Funding carry/context framework placeholder,funding_context_or_carry,direction depends on future plan,4h_alignment_from_funding,testable_only_after_fresh_definition_plan,funding history; basis/spot-perp data if carry,Funding is a new feature class but prior funding gate is closed,Price moves overwhelm funding or retune temptation,Reduces losses without positive edge,definition_blocked_no_validation
H_basis_perp_spot_spread_round1,H,Basis/perp-spot spread monitor placeholder,market_neutral_carry_plan,market_neutral_plan_only,4h_or_daily,plan_only_data_unavailable,"spot price, perp price, funding, borrow, fees, margin assumptions",Materially different carry family but data and execution assumptions missing,"Basis blowout, liquidation, transfer/borrow constraints",Net carry after frictions fails no-trade,plan_only_no_validation
I_regime_filtered_trend_round1,I,BTC regime-filtered generic trend,regime_filtered_directional,long_only,4h,immediately_testable_existing_4h_ohlcv,4h OHLCV and BTC anchor OHLCV,"New generic trend gate, not failed Long1 regime path",Filter removes winners or keeps beta losses,Underperforms ungated trend and no-trade,needs_first_pass_validation_plan_high_caution
J_pairs_relative_value_round1,J,Predeclared pairs relative-value placeholder,market_neutral_relative_value,long_short_plan_only,4h_or_daily,testable_only_after_data_and_execution_audit,"OHLCV, shortability, funding/borrow costs, pair universe",Pairs are distinct from directional beta but complex,Cointegration break and cherry-picked pairs,Pair choice drives all results,plan_only_no_validation
K_capped_grid_sim_round1,K,Strictly capped grid-like range harvesting placeholder,volatility_harvesting_simulation,long_inventory_plan_only,4h_minimum_lower_tf_preferred,excluded_first_pass_due_tail_risk,OHLCV minimum; lower timeframe/orderbook preferred,Grid family included only to document constraints,"Hidden tail risk, inventory accumulation, fee drag",Range break losses dominate small gains,excluded_or_plan_only_no_validation
L_logistic_classifier_baseline_round1,L,Leakage-controlled logistic classifier placeholder,ml_classifier_baseline,long_or_flat_research_only,4h,plan_only_until_ml_validation_framework,"fixed OHLCV features, labels, walk-forward splits",ML included only as simple baseline with strict controls,"Leakage, overfit, class imbalance",Accuracy fails to convert to net PnL,plan_only_no_training
