section,status,finding,evidence
Short1 current research state,active structural discovery,Short1 has a stable path-quality parent but remains non-implementation research.,Executed total 155; starter total 474; no strategy/source changes in latest audits.
Material base and usable markets,usable basket,BTC alone was too sparse; the cross-market 4h basket is the active material base.,"FILUSDT, DOTUSDT, ATOMUSDT, UNIUSDT, ADAUSDT, XRPUSDT, LTCUSDT, DOGEUSDT, NEARUSDT, ETCUSDT, AAVEUSDT"
Current main parent,preserve,below-EMA20 displacement mainly protects against adverse-dominant failure,"Adverse_dominant is the largest failure bucket: executed 66, starter 227."
Leading antecedent,preserve but do not threshold,entry_short_ema20_gap_atr remains the leading antecedent candidate.,"Clean-vs-adverse_dominant support: executed 10/11, starter 11/11; deltas executed 0.072787, starter 0.064817."
Stable finding,stable,The strongest stable separation is clean_followthrough versus adverse_dominant.,"Cross-bucket support clean vs adverse: executed 10/11, starter 11/11."
Unresolved mixed_chop,unresolved separate behavior,mixed_chop is not adverse_dominant-lite.,"mixed_chop has much lower MAE and higher MFE-minus-MAE than adverse_dominant in both populations, so it is not just a softer adverse-dominant failure."
Unresolved weak_followthrough,unresolved underpowered / transition behavior,weak_followthrough has favorable return but poor excursion quality and split affinity.,"weak_followthrough has favorable 24-bar short return by definition, but MFE is not dominant over MAE; aggregate path affinity is split (executed closer to mixed_chop, starter closer to adverse_dominant), and per-market evidence is sparse/inconsistent. executed mixed_chop; starter adverse_dominant"
Too-small failed_no_followthrough,do not interpret strongly,failed_no_followthrough has n=1 in both executed and starter populations.,Executed 1; starter 1.
Secondary hints,context only,"Lower entry_adx remains secondary; entry_exec_distance_atr, DI, resumption, and combined antecedents are weaker or contradictory.","ADX support executed 10/11, starter 8/11; combined antecedents did not improve stability."
Implementation boundary,closed,"No implementation, thresholds, rule conversion, proxy changes, or strategy edits are justified.",All current outputs are diagnostic/synthesis artifacts only.
