family_id,family_name,include_status,include_reason,data_status,complexity_level,first_pass_eligible,plan_only,excluded_reason,notes
A,time_series_momentum_trend_following,include_first_pass,Simple canonical trend family; materially broader than failed Long1-specific path,existing_4h_ohlcv,medium,yes,no,,Freeze one EMA/return candidate; no threshold sweep
B,cross_sectional_momentum_relative_strength,include_first_pass_with_portfolio_support,Distinct cross-market ranking framework; avoids signal per market only,existing_4h_ohlcv,medium_high,yes,no,,Needs portfolio-ranking implementation in validation script; no post-result universe edits
C,donchian_breakout,include_first_pass,Canonical breakout baseline; simple and OHLCV-testable,existing_4h_ohlcv,medium,yes,no,,Could overlap trend beta; compare to passive BTC and no-trade
D,volatility_contraction_breakout,include_first_pass,Tests compression plus breakout rather than ordinary late trend,existing_4h_ohlcv_volume,medium,yes,no,,Use one fixed compression definition only
E,rsi_bollinger_mean_reversion,include_first_pass_high_caution,Mean-reversion family distinct from Candidate D by BB trigger and simpler stop,existing_4h_ohlcv,medium,yes,no,,High caution due Candidate D later-data failure
F,intraday_momentum_reversal,data_blocked,Current 4h data cannot cleanly represent intraday timing effects,needs_1h_or_15m_marketwide_audit,medium_high,no,yes,insufficient market-wide intraday data,Do not force into 4h tournament
G,funding_rate_carry_or_filter,data_or_definition_blocked,Funding history exists but the prior funding gate failed; needs genuinely fresh definition,audited_funding_partial,medium_high,no,yes,failed funding-gated Candidate D cannot be retuned,"Funding carry/filter may be planned separately, not in first tournament"
H,basis_perp_spot_spread,plan_only,Basis/carry is materially different but required basis and execution data are not audited,basis_data_not_audited,high,no,yes,"spot/perp basis, borrow, margin, fee, and execution assumptions missing",No validation until data audit
I,regime_filtered_trend_strategy,include_first_pass_with_prior_failure_caution,"New template can gate generic trend, but must not revive failed regime-filter path",existing_4h_ohlcv,medium,yes,no,,Must compare against ungated A trend candidate
J,pairs_market_neutral_relative_value,plan_only_or_data_audit,"Requires pair universe, spread construction, shortability, funding, and costs",partial_ohlcv_only,high,no,yes,shortability/cost/portfolio assumptions not audited,No complex pair selection in first pass
K,volatility_harvesting_grid_like,excluded_first_pass_plan_only,Grid/range harvesting has hidden tail and inventory risk,partial_4h_only,high,no,yes,lower timeframe/orderbook realism and hard loss cap needed,No averaging-down implementation
L,ml_classifier_baseline,plan_only_until_ml_pipeline,"Data may exist, but leakage-safe ML validation is a separate framework",existing_4h_ohlcv_features_but_pipeline_needed,high,no,yes,"walk-forward, labels, feature freeze, and baseline comparison not yet specified",No model training or black-box claim
