path,category,size_bytes,insertions,deletions,decision,reason
app.py,app_server_files,195,11,0,keep,source/data/docs or uncertain review item retained
data/AAVEUSDT_4h.csv,raw_data_csvs,745257,12240,0,keep,source/data/docs or uncertain review item retained
data/ADAUSDT_4h.csv,raw_data_csvs,1054015,16153,0,keep,source/data/docs or uncertain review item retained
data/ATOMUSDT_4h.csv,raw_data_csvs,933989,15445,0,keep,source/data/docs or uncertain review item retained
data/AVAXUSDT_4h.csv,raw_data_csvs,743020,12377,0,keep,source/data/docs or uncertain review item retained
data/BCHUSDT_4h.csv,raw_data_csvs,863437,14169,0,keep,source/data/docs or uncertain review item retained
data/BNBUSDT_4h.csv,raw_data_csvs,1019167,16153,0,keep,source/data/docs or uncertain review item retained
data/BTCUSDT_1h.csv,raw_data_csvs,1336657,20001,0,keep,source/data/docs or uncertain review item retained
data/BTCUSDT_4h.csv,raw_data_csvs,1149660,15948,0,keep,source/data/docs or uncertain review item retained
data/DOGEUSDT_4h.csv,raw_data_csvs,1059750,15043,0,keep,source/data/docs or uncertain review item retained
data/DOTUSDT_4h.csv,raw_data_csvs,759506,12583,0,keep,source/data/docs or uncertain review item retained
data/ETCUSDT_4h.csv,raw_data_csvs,976819,16153,0,keep,source/data/docs or uncertain review item retained
data/ETHUSDT_4h.csv,raw_data_csvs,1093890,16153,0,keep,source/data/docs or uncertain review item retained
data/FILUSDT_4h.csv,raw_data_csvs,736701,12236,0,keep,source/data/docs or uncertain review item retained
data/LINKUSDT_4h.csv,raw_data_csvs,988083,16061,0,keep,source/data/docs or uncertain review item retained
data/LTCUSDT_4h.csv,raw_data_csvs,989339,16153,0,keep,source/data/docs or uncertain review item retained
data/NEARUSDT_4h.csv,raw_data_csvs,737170,12245,0,keep,source/data/docs or uncertain review item retained
data/SOLUSDT_4h.csv,raw_data_csvs,788800,12629,0,keep,source/data/docs or uncertain review item retained
data/TRXUSDT_4h.csv,raw_data_csvs,1097538,16153,0,keep,source/data/docs or uncertain review item retained
data/UNIUSDT_4h.csv,raw_data_csvs,746084,12408,0,keep,source/data/docs or uncertain review item retained
data/XRPUSDT_4h.csv,raw_data_csvs,1060585,16153,0,keep,source/data/docs or uncertain review item retained
