feature_class,minimum_symbols,timeframe_alignment,history_requirement,source_requirement,data_quality_checks,fetch_status_this_task
open_interest,same_19_markets_where_available_or_documented_missing,4h_alignment_required,must_cover_reference_holdout_and_later_or_forward_window_before_validation,OKX public open interest history if available through exchange API/ccxt or archived data vendor; symbol-level 4h-aligned derivatives OI.,timestamp_UTC; duplicates; gaps; missing symbols; unit/contract normalization; no forward fill; provenance logged,not_fetched
funding_rate,same_19_markets_where_available_or_documented_missing,4h_alignment_required,must_cover_reference_holdout_and_later_or_forward_window_before_validation,"OKX public funding-rate history or exchange/vendor archive, aligned to 4h candles for the approved markets where perpetuals exist.",timestamp_UTC; duplicates; gaps; missing symbols; unit/contract normalization; no forward fill; provenance logged,not_fetched
liquidation_or_long_short_squeeze_proxy,same_19_markets_where_available_or_documented_missing,4h_alignment_required,must_cover_reference_holdout_and_later_or_forward_window_before_validation,"Exchange liquidation feed/history, long-short account/position ratios, or reputable derivatives data vendor; 4h aggregation required.",timestamp_UTC; duplicates; gaps; missing symbols; unit/contract normalization; no forward fill; provenance logged,not_fetched
taker_buy_sell_volume,same_19_markets_where_available_or_documented_missing,4h_alignment_required,must_cover_reference_holdout_and_later_or_forward_window_before_validation,Exchange trade/taker volume history if available from OKX or vendor; 4h aggregation per market.,timestamp_UTC; duplicates; gaps; missing symbols; unit/contract normalization; no forward fill; provenance logged,not_fetched
volume_expansion_abnormal_turnover,same_19_markets_where_available_or_documented_missing,4h_alignment_required,must_cover_reference_holdout_and_later_or_forward_window_before_validation,Local OHLCV can provide base volume; richer turnover would require quote volume or exchange turnover fields.,timestamp_UTC; duplicates; gaps; missing symbols; unit/contract normalization; no forward fill; provenance logged,not_fetched
btc_or_alt_dominance,same_19_markets_where_available_or_documented_missing,4h_alignment_required,must_cover_reference_holdout_and_later_or_forward_window_before_validation,"External market-cap/dominance source such as CoinMarketCap/CoinGecko/TradingView-compatible historical dominance, with timestamp alignment.",timestamp_UTC; duplicates; gaps; missing symbols; unit/contract normalization; no forward fill; provenance logged,not_fetched
stablecoin_dominance_or_liquidity_proxy,same_19_markets_where_available_or_documented_missing,4h_alignment_required,must_cover_reference_holdout_and_later_or_forward_window_before_validation,"External stablecoin market-cap/dominance history, exchange liquidity proxy, or macro crypto liquidity dataset.",timestamp_UTC; duplicates; gaps; missing symbols; unit/contract normalization; no forward fill; provenance logged,not_fetched
cross_market_relative_strength,same_19_markets_where_available_or_documented_missing,4h_alignment_required,must_cover_reference_holdout_and_later_or_forward_window_before_validation,Existing OHLCV can compute basic RS; richer breadth may require broader universe beyond 19 symbols.,timestamp_UTC; duplicates; gaps; missing symbols; unit/contract normalization; no forward fill; provenance logged,not_fetched
volatility_regime_classifier,same_19_markets_where_available_or_documented_missing,4h_alignment_required,must_cover_reference_holdout_and_later_or_forward_window_before_validation,"Can start from OHLCV, but stronger version should include OI/funding/liquidation/liquidity features.",timestamp_UTC; duplicates; gaps; missing symbols; unit/contract normalization; no forward fill; provenance logged,not_fetched
event_news_exclusion_filter,same_19_markets_where_available_or_documented_missing,4h_alignment_required,must_cover_reference_holdout_and_later_or_forward_window_before_validation,"Historical economic calendar, crypto event/news feed, exchange incident calendar, regulatory/news taxonomy; timestamps and severity labels.",timestamp_UTC; duplicates; gaps; missing symbols; unit/contract normalization; no forward fill; provenance logged,not_fetched
